w-stem mp	6166771	ἐφαίνετο	φαίνω	to bring to light	3siie	327
w-stem mp	6166823	μετεστράφην	μεταστρέφω	to turn about	1saip	327
w-stem mp	6166933	λείπεται	λείπω	pharr10	3spie	327
w-stem mp	6166969	διανοεῖσθε	διανοέω	nodef	2ppie	327
w-stem mp	6167051	διαλεξόμεθα	διαλέξω	nodef	1ppie	328
w-stem mp	6167251	αὔξονται	αὐξάνω	to make large	3ppie	328
w-stem mp	6167343	φαίνεται	φαίνω	to bring to light	3spie	328
w-stem mp	6167389	φαίνεται	φαίνω	to bring to light	3spie	329
w-stem mp	6167438	ἔχεται	ἔχω	pharr10	3spie	329
w-stem mp	6168311	συμβάλλεται	συμβάλλω	to throw together	3spie	331
w-stem mp	6168780	ὀφείλεται	ὀφείλω	to owe	3spie	332
w-stem mp	6168815	διενοεῖτο	διανοέω	nodef	3siie	332
w-stem mp	6168820	φαίνεται	φαίνω	to bring to light	3spie	332
w-stem mp	6168870	καλεῖται	καλέω	pharr23	3spie	332
w-stem mp	6168903	καλεῖται	καλέω	pharr23	3spie	332
w-stem mp	6169244	φαίνεται	φαίνω	to bring to light	3spie	333
w-stem mp	6169335	φαίνεται	φαίνω	to bring to light	3spie	333
w-stem mp	6169714	φαίνεται	φαίνω	to bring to light	3spie	334
w-stem mp	6169775	φαίνεται	φαίνω	to bring to light	3spie	334
w-stem mp	6170188	φαίνεται	φαίνω	to bring to light	3spie	335
w-stem mp	6170281	ἐφάνη	φαίνω	to bring to light	3saip	335
w-stem mp	6170405	ἐφάνη	φαίνω	to bring to light	3saip	336
w-stem mp	6170439	διεκωλύετο	διακωλύω	to hinder	3siie	336
w-stem mp	6170475	διεπτοήθημεν	διαπτοέω	to scare away	1paip	336
w-stem mp	6170596	ἐξεπλάγην	ἐκπλήσσω	(to knock out); to astound	1saip	336
w-stem mp	6170600	ἐφοβούμην	φοβέω	to put to flight	1siie	336
w-stem mp	6170625	ἤρχετο	ἄρχω	pharr9	3siie	336
w-stem mp	6170947	φαίνεται	φαίνω	to bring to light	3spie	337
w-stem mp	6171214	ἐδέοντο	δέω	pharr31	3piie	338
w-stem mp	6171236	προσεποιεῖτο	προσποιέω	to make over to; mid. procure	3siie	338
w-stem mp	6171306	ψεύδῃ	ψεύδω	to cheat by lies	2spie	338
w-stem mp	6171343	ἀποκρίνῃ	ἀποκρίνω	to separate	2spie	338
w-stem mp	6171498	τυραννοῦνται	τυραννεύω	to be a monarch	3ppie	338
w-stem mp	6171982	προστάττεται	προστάσσω	to order	3spie	339
w-stem mp	6172020	δεῖται	δέω	pharr31	3spie	340
w-stem mp	6172152	ἐλέγετο	λέγω	to pick; to say	3siie	340
w-stem mp	6172223	ἐξαμαρτάνῃ	ἐξαμαρτάνω	to err from the mark	2spie	340
w-stem mp	6172700	καλεῖται	καλέω	pharr23	3spie	341
w-stem mp	6172788	προσδεῖταί	προσδέω	to bind on	3spie	341
w-stem mp	6172797	προσδεῖται	προσδέω	to bind on	3spie	341
w-stem mp	6172830	παρεσκευάσθη	παρασκευάζω	pharr26	3saip	341
w-stem mp	6172869	προσδεῖταί	προσδέω	to bind on	3spie	342
w-stem mp	6172944	προσδεῖται	προσδέω	to bind on	3spie	342
w-stem mp	6173010	φαίνεται	φαίνω	to bring to light	3spie	342
w-stem mp	6173045	προσδεῖται	προσδέω	to bind on	3spie	342
w-stem mp	6173053	φαίνεται	φαίνω	to bring to light	3spie	342
w-stem mp	6173748	ἀφαιρεῖται	ἀφαιρέω	to take from	3spie	344
w-stem mp	6173772	ζημιοῦταί	ζημιόω	to cause loss	3spie	344
w-stem mp	6173798	καλοῦνται	καλέω	pharr23	3ppie	344
w-stem mp	6173946	ἐδεόμην	δέω	pharr31	1siie	344
w-stem mp	6174061	πείθομαι	πείθω	pharr9	1spie	345
w-stem mp	6174134	βουλευόμεθα	βουλεύω	pharr13	1ppie	345
w-stem mp	6174471	παρέχεται	παρέχω	pharr21	3spie	346
w-stem mp	6174607	ὠφελοῦνται	ὠφελέω	pharr31	3ppie	346
w-stem mp	6174621	ὠφελοῦνται	ὠφελέω	pharr31	3ppie	346
w-stem mp	6174722	ὠφελεῖται	ὠφελέω	pharr31	3spie	346
w-stem mp	6174730	φαίνεται	φαίνω	to bring to light	3spie	346
w-stem mp	6174934	λέγεταί	λέγω	to pick; to say	3spie	347
w-stem mp	6175038	φαίνονται	φαίνω	to bring to light	3ppie	347
w-stem mp	6175195	αἱρῇ	αἱρέω	pharr25	2spie	347
w-stem mp	6175233	πείθομαι	πείθω	pharr9	1spie	348
w-stem mp	6175697	διανοῇ	διανοέω	nodef	2spie	349
w-stem mp	6176277	φαίνεται	φαίνω	to bring to light	3spie	350
w-stem mp	6176613	ἐλέχθη	λέγω	to pick; to say	3saip	351
w-stem mp	6176797	ἀποκρίνῃ	ἀποκρίνω	to separate	2spie	351
w-stem mp	6176806	χαρίζομαι	χαρίζω	to do a favor	1spie	351
w-stem mp	6177018	φαίνεται	φαίνω	to bring to light	3spie	352
w-stem mp	6177196	φαίνονται	φαίνω	to bring to light	3ppie	352
w-stem mp	6177232	ἀπείχοντο	ἀπέχω	pharr12	3piie	352
w-stem mp	6177325	φαίνονται	φαίνω	to bring to light	3ppie	352
w-stem mp	6177879	φαίνεται	φαίνω	to bring to light	3spie	353
w-stem mp	6178003	ἀπογεύονται	ἀπογεύω	to give a taste of	3ppie	354
w-stem mp	6178463	ψέγεται	ψέγω	to blame	3spie	358
w-stem mp	6178467	ἐπαινεῖται	ἐπαινέω	to approve	3spie	358
w-stem mp	6178497	φαίνεται	φαίνω	to bring to light	3spie	358
w-stem mp	6178545	ἐᾶσαι	ἐάω	to let	2spie	358
w-stem mp	6178999	παράγεται	παράγω	to lead by	3spie	359
